epoch,step,train_loss,val_loss
0,49,0.21887385845184326,
0,99,0.22416438162326813,
0,149,0.16350853443145752,
0,199,0.20998930931091309,
0,249,0.32110360264778137,
0,299,0.11970623582601547,
0,349,0.18059274554252625,
0,399,0.2770458459854126,
0,449,0.14620473980903625,
0,499,0.12276414781808853,
0,549,0.1774854212999344,
0,599,0.27056100964546204,
0,649,0.22292254865169525,
0,699,0.14879772067070007,
0,749,0.23577019572257996,
0,799,0.18530499935150146,
0,849,0.14070989191532135,
0,899,0.14258155226707458,
0,949,0.12873096764087677,
0,999,0.20876382291316986,
0,1049,0.21463856101036072,
0,1099,0.2536056339740753,
0,1149,0.22701844573020935,
0,1199,0.11948604881763458,
0,1249,0.2069331556558609,
0,1299,0.11105284094810486,
0,1349,0.12929193675518036,
0,1399,0.15764732658863068,
0,1449,0.18081234395503998,
0,1454,,0.19159452617168427
1,1499,0.2564491033554077,
1,1549,0.13947661221027374,
1,1599,0.25148868560791016,
1,1649,0.2073306441307068,
1,1699,0.22996100783348083,
1,1749,0.1912110596895218,
1,1799,0.26064640283584595,
1,1849,0.2217034250497818,
1,1899,0.16690552234649658,
1,1949,0.2608523964881897,
1,1999,0.13726040720939636,
1,2049,0.09272532165050507,
1,2099,0.10222498327493668,
1,2149,0.14126557111740112,
1,2199,0.2705363631248474,
1,2249,0.24037285149097443,
1,2299,0.1875981092453003,
1,2349,0.1669294685125351,
1,2399,0.2175816148519516,
1,2449,0.19095510244369507,
1,2499,0.2601686418056488,
1,2549,0.16399571299552917,
1,2599,0.22565282881259918,
1,2649,0.07976924628019333,
1,2699,0.22965510189533234,
1,2749,0.19104599952697754,
1,2799,0.15175601840019226,
1,2849,0.10566961765289307,
1,2899,0.1781594604253769,
1,2909,,0.19009838998317719
2,2949,0.1549530327320099,
2,2999,0.14596965909004211,
2,3049,0.1986602246761322,
